locationName,postalCode,streetAddress,streetAddress2,fullAddress,city,state,storeID
Camp Bowie,76116,6140 Camp Bowie,,"6140 Camp Bowie, Ft. Worth, TX, 76116",Ft. Worth,TX,1676
Carillon,77042,10001 Westheimer Road,Suite 2123,"10001 Westheimer Road, Suite 2123, Houston, TX, 77042",Houston,TX,1677
Carrollton,70118,601 S. Carrollton Avenue,,"601 S. Carrollton Avenue, New Orleans, LA, 70118",New Orleans,LA,1678
Champions,77069,5505-A FM 1960,,"5505-A FM 1960, Houston, TX, 77069",Houston,TX,1679
Clearlake,77598,929 West Bay Area Boulevard,,"929 West Bay Area Boulevard, Webster, TX, 77598",Webster,TX,1680
Coit & Campbell,75080,1320 W. Campbell,,"1320 W. Campbell, Richardson, TX, 75080",Richardson,TX,1681
Crossroads,77065,19710 Northwest Freeway (290),Suite 100,"19710 Northwest Freeway (290), Suite 100, Houston, TX, 77065",Houston,TX,1684
Downtown Crown,20878,242 Crown Park Avenue,,"242 Crown Park Avenue, Gaithersburg, MD, 20878",Gaithersburg,MD,1687
Flower Mound,75028,2500 Cross Timbers Road,Suite 150,"2500 Cross Timbers Road, Suite 150, Flower Mound, TX, 75028",Flower Mound,TX,1694
Frisco,75034,8008 State Hwy 121,Suite 100,"8008 State Hwy 121, Suite 100, Frisco, TX, 75034",Frisco,TX,1695
Grapevine,76051,900 W. State Highway 114,,"900 W. State Highway 114, Grapevine, TX, 76051",Grapevine,TX,1696
Huebner Oaks,78230,11745 Hwy. 10 West,Suite 101,"11745 Hwy. 10 West, Suite 101, San Antonio, TX, 78230",San Antonio,TX,1699
Jefferson,70809,7615 Jefferson Highway,,"7615 Jefferson Highway, Baton Rouge, LA, 70809",Baton Rouge,LA,1700
Kingstowne,22315,5876 Kingstowne Center,Suite 100,"5876 Kingstowne Center, Suite 100, Alexandria, VA, 22315",Alexandria,VA,1702
Kingwood,77345,4570 Kingwood Drive,,"4570 Kingwood Drive, Kingwood, TX, 77345",Kingwood,TX,1703
Lakeline,78717,14028 N. US Hwy 183,Suite 210,"14028 N. US Hwy 183, Suite 210, Austin, TX, 78717",Austin,TX,1704
Luhrs City Center,85003,45 West Jefferson Street,Suite M,"45 West Jefferson Street, Suite M, Phoenix, AZ, 85003",Phoenix,AZ,1707
MacArthur,75039,6430 North MacArthur Boulevard,,"6430 North MacArthur Boulevard, Irving, TX, 75039",Irving,TX,1708
Meyerland,77096,4700 Beechnut,Suite 620,"4700 Beechnut, Suite 620, Houston, TX, 77096",Houston,TX,1710
Midway,75220,4343 W. Northwest Hwy,Suite 365,"4343 W. Northwest Hwy, Suite 365, Dallas, TX, 75220",Dallas,TX,1711
Mockingbird,75205,3072 Mockingbird Lane,,"3072 Mockingbird Lane, Dallas, TX, 75205",Dallas,TX,1713
Mueller,78723,1201  Barbara Jordan Boulevard,"Bldg 11, Ste 100","1201  Barbara Jordan Boulevard, Bldg 11, Ste 100, Austin, TX, 78723",Austin,TX,1714
North Arlington,76011,2101 N. Collins,,"2101 N. Collins, Arlington , TX, 76011",Arlington ,TX,1715
Northwoods,78232,18030 US Hwy 281 N,,"18030 US Hwy 281 N, San Antonio, TX, 78232",San Antonio,TX,1717
Overton Park,76109,4626 SW Loop 820,,"4626 SW Loop 820, Ft. Worth, TX, 76109",Ft. Worth,TX,1718
Park North,78216,722 NW Loop 410,Suite 201,"722 NW Loop 410, Suite 201, San Antonio, TX, 78216",San Antonio,TX,1719
Parkway Village,77077,1560 Eldridge Parkway,Suite 190,"1560 Eldridge Parkway, Suite 190, Houston, TX, 77077",Houston,TX,1720
Pearland,77584,11200 Broadway Street,Suite 1600,"11200 Broadway Street, Suite 1600, Pearland, TX, 77584",Pearland,TX,1721
Perkins Rowe,70810,7707 Bluebonnet Boulevard,Suite 190,"7707 Bluebonnet Boulevard, Suite 190, Baton Rouge, LA, 70810",Baton Rouge,LA,1723
West Grand,77449,23322 Mercantile Parkway,,"23322 Mercantile Parkway, Katy, TX, 77449",Katy,TX,1752
Norman,73069,1954 24th Avenue NW,,"1954 24th Avenue NW, Norman, OK, 73069",Norman,OK,1748
